tweet_id,favorites,retweets,user_followers,user_favourites,date_time
854120357044912130,33296,8023,6742840,133084,2017-04-17 23:52:16
854010172552949760,16879,3359,6742840,133084,2017-04-17 16:34:26
853760880890318849,29874,6217,6742840,133084,2017-04-17 00:03:50
853639147608842240,36490,10896,6742840,133084,2017-04-16 16:00:07
853299958564483072,16243,3822,6742840,133084,2017-04-15 17:32:18
852936405516943360,0,2174,6742620,133085,2017-04-14 17:27:40
852912242202992640,9467,1980,6742840,133084,2017-04-14 15:51:39
852672615818899456,15638,2310,6742840,133084,2017-04-13 23:59:28
852553447878664193,17169,3780,6742840,133084,2017-04-13 16:05:56
852311364735569921,34729,10663,6742840,133084,2017-04-13 00:03:59
852226086759018497,20978,7360,6742840,133084,2017-04-12 18:25:07
852189679701164033,12016,1702,6742840,133084,2017-04-12 16:00:27
851953902622658560,0,10400,6742840,133084,2017-04-12 00:23:33
851861385021730816,0,23,6742840,133084,2017-04-11 18:15:55
851591660324737024,17018,3735,6742840,133084,2017-04-11 00:24:08
851464819735769094,25509,7628,6742840,133084,2017-04-10 16:00:07
851224888060895234,21723,6184,6742840,133084,2017-04-10 00:06:42
850753642995093505,32705,10057,6742840,133084,2017-04-08 16:54:09
850380195714523136,13734,2824,6742840,133084,2017-04-07 16:10:12
850333567704068097,3591,361,6742840,133084,2017-04-07 13:04:55
850145622816686080,17203,4133,6742840,133084,2017-04-07 00:38:06
850019790995546112,21563,5311,6742840,133084,2017-04-06 16:18:05
849776966551130114,32118,8244,6742840,133084,2017-04-06 00:13:11
849668094696017920,0,5382,6742840,133084,2017-04-05 17:00:34
849412302885593088,16744,3397,6742840,133084,2017-04-05 00:04:08
849336543269576704,12058,2048,6742840,133084,2017-04-04 19:03:06
849051919805034497,44772,9259,6742840,133084,2017-04-04 00:12:06
848690551926992896,26637,4685,6742840,133084,2017-04-03 00:16:10
848324959059550208,26160,5001,6742840,133084,2017-04-02 00:03:26
848213670039564288,8646,814,6742840,133084,2017-04-01 16:41:12
848212111729840128,17290,3347,6742841,133084,2017-04-01 16:35:01
847978865427394560,0,3544,6742841,133084,2017-04-01 01:08:10
847971574464610304,0,467,6742841,133084,2017-04-01 00:39:12
847962785489326080,24846,5575,6742841,133084,2017-04-01 00:04:17
847842811428974592,5817,1468,6742841,133084,2017-03-31 16:07:33
847617282490613760,7425,457,6742841,133084,2017-03-31 01:11:22
847606175596138505,19844,3677,6742841,133084,2017-03-31 00:27:14
847251039262605312,21622,4659,6742841,133084,2017-03-30 00:56:03
847157206088847362,21172,6372,6742841,133084,2017-03-29 18:43:12
847116187444137987,22693,3478,6742841,133084,2017-03-29 16:00:12
846874817362120707,21281,4284,6742841,133084,2017-03-29 00:01:05
846514051647705089,47401,12661,6742841,133084,2017-03-28 00:07:32
846505985330044928,15006,3380,6742841,133084,2017-03-27 23:35:28
846153765933735936,33707,9880,6742841,133084,2017-03-27 00:15:53
846139713627017216,32692,10722,6742841,133084,2017-03-26 23:20:02
846042936437604353,16974,3141,6742841,133084,2017-03-26 16:55:29
845812042753855489,31099,9558,6742841,133084,2017-03-26 01:38:00
845677943972139009,26659,5223,6742841,133084,2017-03-25 16:45:08
845397057150107648,8101,1995,6742841,133084,2017-03-24 22:08:59
845306882940190720,24783,5886,6742841,133084,2017-03-24 16:10:40
845098359547420673,0,8398,6742841,133084,2017-03-24 02:22:04
844979544864018432,14479,2830,6742841,133084,2017-03-23 18:29:57
844973813909606400,16088,3517,6742841,133084,2017-03-23 18:07:10
844704788403113984,41220,11319,6742841,133084,2017-03-23 00:18:10
844580511645339650,17518,3430,6742840,133084,2017-03-22 16:04:20
844223788422217728,14500,2399,6742840,133084,2017-03-21 16:26:50
843981021012017153,16054,3197,6742840,133084,2017-03-21 00:22:10
843856843873095681,22787,5073,6742840,133084,2017-03-20 16:08:44
843604394117681152,17975,2996,6742840,133084,2017-03-19 23:25:35
843235543001513987,22885,6635,6742840,133084,2017-03-18 22:59:54
842846295480000512,16188,3924,6742840,133084,2017-03-17 21:13:10
842765311967449089,7190,1404,6742840,133084,2017-03-17 15:51:22
842535590457499648,19272,3835,6742840,133084,2017-03-17 00:38:32
842163532590374912,26121,6361,6742840,133084,2017-03-16 00:00:07
842115215311396866,14945,3313,6742840,133084,2017-03-15 20:48:07
841833993020538882,0,16924,6742840,133084,2017-03-15 02:10:39
841680585030541313,27327,8511,6742840,133084,2017-03-14 16:01:03
841439858740625411,13489,4043,6742840,133084,2017-03-14 00:04:30
841320156043304961,21060,5952,6742840,133084,2017-03-13 16:08:50
841314665196081154,16957,5167,6742840,133084,2017-03-13 15:47:01
841077006473256960,24474,5827,6742840,133084,2017-03-13 00:02:39
840761248237133825,0,1931,6742840,133084,2017-03-12 03:07:56
840728873075638272,0,17797,6742840,133084,2017-03-12 00:59:17
840698636975636481,195,3,6742840,133084,2017-03-11 22:59:09
840696689258311684,13143,1089,6742840,133084,2017-03-11 22:51:24
840632337062862849,9595,1931,6742840,133084,2017-03-11 18:35:42
840370681858686976,17599,5015,6742840,133084,2017-03-11 01:15:58
840268004936019968,20593,6307,6742840,133084,2017-03-10 18:27:58
839990271299457024,14356,2530,6742840,133084,2017-03-10 00:04:21
839549326359670784,29455,8566,6742840,133084,2017-03-08 18:52:12
839290600511926273,0,155,6742840,133084,2017-03-08 01:44:07
839239871831150596,29101,7214,6742840,133084,2017-03-07 22:22:32
838952994649550848,20991,4392,6742840,133084,2017-03-07 03:22:35
838921590096166913,11961,2289,6742840,133084,2017-03-07 01:17:48
838916489579200512,0,37,6742840,133084,2017-03-07 00:57:32
838831947270979586,0,12225,6742841,133084,2017-03-06 19:21:35
838561493054533637,11681,1467,6742841,133084,2017-03-06 01:26:54
838476387338051585,24223,5321,6742841,133084,2017-03-05 19:48:43
838201503651401729,0,11183,6742841,133084,2017-03-05 01:36:26
838150277551247360,1794,358,6742841,133084,2017-03-04 22:12:52
838085839343206401,149,0,6742841,133084,2017-03-04 17:56:49
838083903487373313,18875,3472,6742841,133084,2017-03-04 17:49:08
837820167694528512,36631,8699,6742841,133084,2017-03-04 00:21:08
837482249356513284,4123,489,6742842,133084,2017-03-03 01:58:22
837471256429613056,13730,2553,6742842,133084,2017-03-03 01:14:41
837366284874571778,22646,5846,6742842,133084,2017-03-02 18:17:34
837110210464448512,17157,2654,6742842,133084,2017-03-02 01:20:01
836989968035819520,13637,2541,6742622,133085,2017-03-01 17:22:13
836753516572119041,20625,5098,6742842,133084,2017-03-01 01:42:39
836677758902222849,13517,2453,6742842,133084,2017-02-28 20:41:37
836648853927522308,0,609,6742842,133084,2017-02-28 18:46:45
836397794269200385,0,30495,6742842,133084,2017-02-28 02:09:08
836380477523124226,15780,3247,6742842,133084,2017-02-28 01:00:19
836260088725786625,22769,4736,6742842,133084,2017-02-27 17:01:56
836001077879255040,20510,4777,6742842,133084,2017-02-26 23:52:43
835685285446955009,0,9066,6742842,133084,2017-02-26 02:57:52
835574547218894849,19115,4013,6742842,133084,2017-02-25 19:37:50
835536468978302976,0,1884,6742842,133084,2017-02-25 17:06:32
835309094223372289,0,23311,6742842,133084,2017-02-25 02:03:02
835297930240217089,17577,3303,6742842,133084,2017-02-25 01:18:40
835264098648616962,8338,1884,6742842,133084,2017-02-24 23:04:14
835246439529840640,2238,81,6742842,133084,2017-02-24 21:54:03
835172783151792128,28046,6368,6742842,133084,2017-02-24 17:01:22
835152434251116546,24124,3358,6742842,133084,2017-02-24 15:40:31
834931633769889797,11633,1828,6742842,133084,2017-02-24 01:03:08
834786237630337024,22640,6042,6742842,133084,2017-02-23 15:25:23
834574053763584002,14732,2808,6742842,133084,2017-02-23 01:22:14
834477809192075265,0,11824,6742842,133084,2017-02-22 18:59:48
834458053273591808,10326,1855,6742842,133084,2017-02-22 17:41:18
834209720923721728,22143,5314,6742842,133084,2017-02-22 01:14:30
834167344700198914,16916,4022,6742842,133084,2017-02-21 22:26:07
834089966724603904,10765,2358,6742842,133084,2017-02-21 17:18:39
834086379323871233,14031,2457,6742842,133084,2017-02-21 17:04:24
833863086058651648,14408,2667,6742842,133084,2017-02-21 02:17:06
833826103416520705,16475,3815,6742842,133084,2017-02-20 23:50:09
833732339549220864,0,242,6742842,133084,2017-02-20 17:37:34
833722901757046785,22207,3554,6742842,133084,2017-02-20 17:00:04
833479644947025920,15980,2292,6742842,133084,2017-02-20 00:53:27
833124694597443584,21731,5382,6742842,133084,2017-02-19 01:23:00
832998151111966721,14316,2459,6742842,133084,2017-02-18 17:00:10
832769181346996225,0,42,6742842,133084,2017-02-18 01:50:19
832757312314028032,18106,4020,6742842,133084,2017-02-18 01:03:09
832682457690300417,12782,3271,6742842,133084,2017-02-17 20:05:43
832645525019123713,3140,578,6742842,133084,2017-02-17 17:38:57
832636094638288896,17069,3114,6742842,133084,2017-02-17 17:01:29
832397543355072512,12873,2478,6742842,133084,2017-02-17 01:13:34
832369877331693569,18469,3544,6742842,133084,2017-02-16 23:23:38
832273440279240704,12158,2596,6742622,133085,2017-02-16 17:00:25
832215909146226688,0,6882,6742842,133084,2017-02-16 13:11:49
832215726631055365,0,10418,6742842,133084,2017-02-16 13:11:05
832088576586297345,72,2,6742842,133084,2017-02-16 04:45:50
832040443403784192,0,10820,6742842,133084,2017-02-16 01:34:34
832032802820481025,19246,5186,6742842,133084,2017-02-16 01:04:13
831939777352105988,25864,6840,6742842,133084,2017-02-15 18:54:34
831926988323639298,367,36,6742842,133084,2017-02-15 18:03:45
831911600680497154,29798,7267,6742842,133084,2017-02-15 17:02:36
831670449226514432,11255,2017,6742842,133084,2017-02-15 01:04:21
831650051525054464,7742,2174,6742842,133084,2017-02-14 23:43:18
831552930092285952,9706,2558,6742842,133084,2017-02-14 17:17:22
831322785565769729,9881,1704,6742842,133084,2017-02-14 02:02:51
831315979191906304,7005,1237,6742842,133084,2017-02-14 01:35:49
831309418084069378,12609,2712,6742842,133084,2017-02-14 01:09:44
831262627380748289,12832,2288,6742842,133084,2017-02-13 22:03:49
830956169170665475,8595,1679,6742842,133084,2017-02-13 01:46:03
